"TemperatureC","Dew.PointC","Humidity","Sea.Level.PressurehPa","VisibilityKm","Wind.Direction","Wind.SpeedKm.h","Gust.SpeedKm.h","Precipitationmm","Events","Conditions","WindDirDegrees","date.time","year","month","day","hour","weekday"
1.7,-0.6,85,1021.3,14.5,"Calm","Calm",NA,NA,NA,"Clear",0,2011-01-01 00:52:00,11,1,1,0,6
2.2,-0.6,82,1021.1,12.9,"Calm","Calm",NA,NA,NA,"Clear",0,2011-01-01 01:52:00,11,1,1,1,6
2.8,-0.6,79,1020.8,12.9,"Calm","Calm",NA,NA,NA,"Partly Cloudy",0,2011-01-01 02:52:00,11,1,1,2,6
2.2,-1.1,79,1020.6,12.9,"Calm","Calm",NA,NA,NA,"Scattered Clouds",0,2011-01-01 03:52:00,11,1,1,3,6
2.8,-1.1,76,1019.8,12.9,"NNE","5.6",NA,NA,NA,"Overcast",20,2011-01-01 04:52:00,11,1,1,4,6
2.2,-1.1,79,1019.6,12.9,"Calm","Calm",NA,NA,NA,"Mostly Cloudy",0,2011-01-01 05:52:00,11,1,1,5,6
1.1,-1.1,85,1019.9,11.3,"Calm","Calm",NA,NA,NA,"Scattered Clouds",0,2011-01-01 06:52:00,11,1,1,6,6
2.8,-0.6,79,1019.9,12.9,"Calm","Calm",NA,NA,NA,"Mostly Cloudy",0,2011-01-01 07:52:00,11,1,1,7,6
6.7,3.3,79,1020.1,12.9,"Calm","Calm",NA,NA,NA,"Scattered Clouds",0,2011-01-01 08:52:00,11,1,1,8,6
10,5.6,74,1020.6,16.1,"South","16.7",NA,NA,NA,"Mostly Cloudy",190,2011-01-01 09:52:00,11,1,1,9,6
9.4,5.6,77,1020.1,16.1,"South","18.5",NA,NA,NA,"Mostly Cloudy",180,2011-01-01 10:52:00,11,1,1,10,6
11.7,7.8,77,1018.9,16.1,"South","18.5",NA,NA,NA,"Mostly Cloudy",180,2011-01-01 11:52:00,11,1,1,11,6
13.3,9.4,77,1017.9,16.1,"South","20.4",NA,NA,NA,"Mostly Cloudy",180,2011-01-01 12:52:00,11,1,1,12,6
14,10,77,1017.8,16.1,"South","18.5",NA,NA,NA,"Overcast",190,2011-01-01 13:16:00,11,1,1,13,6
14,9,72,1017.8,16.1,"SSW","20.4",NA,NA,NA,"Overcast",200,2011-01-01 13:38:00,11,1,1,13,6
14.4,9.4,72,1017.6,16.1,"SSW","18.5",NA,NA,NA,"Overcast",200,2011-01-01 13:52:00,11,1,1,13,6
12.8,8.9,77,1017.2,16.1,"South","20.4",NA,NA,NA,"Overcast",180,2011-01-01 14:52:00,11,1,1,14,6
11.7,8.9,83,1016.6,16.1,"South","20.4",NA,NA,NA,"Overcast",180,2011-01-01 15:52:00,11,1,1,15,6
12,9,82,1016.5,16.1,"South","20.4",NA,NA,NA,"Overcast",180,2011-01-01 16:01:00,11,1,1,16,6
12.8,10,83,1016.3,16.1,"South","18.5",NA,NA,NA,"Overcast",180,2011-01-01 16:52:00,11,1,1,16,6
11.1,9.4,89,1016.9,14.5,"South","18.5",NA,0,"Rain","Light Rain",180,2011-01-01 17:52:00,11,1,1,17,6
12,10,88,1016.8,16.1,"South","16.7",NA,0.01,"Rain","Light Rain",190,2011-01-01 18:18:00,11,1,1,18,6
11.7,10,89,1017.3,16.1,"South","16.7",NA,0.01,"Rain","Light Rain",190,2011-01-01 18:52:00,11,1,1,18,6
10,9,94,1016.8,12.9,"South","20.4",NA,0,NA,"Overcast",180,2011-01-01 19:19:00,11,1,1,19,6
11,9,88,1016.8,14.5,"South","18.5",NA,0,NA,"Overcast",190,2011-01-01 19:42:00,11,1,1,19,6
12.2,10.6,90,1016.9,16.1,"South","16.7",NA,0,NA,"Overcast",190,2011-01-01 19:52:00,11,1,1,19,6
11,9,88,1016.5,12.9,"South","16.7",NA,NA,NA,"Overcast",180,2011-01-01 20:07:00,11,1,1,20,6
11.1,10,93,1016.3,14.5,"South","18.5",NA,NA,NA,"Overcast",180,2011-01-01 20:52:00,11,1,1,20,6
11,9,88,1016.1,11.3,"South","18.5",NA,NA,NA,"Overcast",180,2011-01-01 21:16:00,11,1,1,21,6
11,9,88,1016.1,11.3,"South","13.0",NA,NA,NA,"Overcast",190,2011-01-01 21:30:00,11,1,1,21,6
11.1,10,93,1016.1,9.7,"SSW","14.8",NA,NA,NA,"Overcast",200,2011-01-01 21:52:00,11,1,1,21,6
12.2,11.1,93,1015.8,11.3,"SSW","13.0",NA,NA,NA,"Overcast",200,2011-01-01 22:52:00,11,1,1,22,6
14,12,88,1015.5,16.1,"SSW","20.4",NA,NA,NA,"Overcast",200,2011-01-01 23:31:00,11,1,1,23,6
14.4,12.2,87,1015.3,16.1,"SSW","20.4",NA,NA,NA,"Overcast",200,2011-01-01 23:52:00,11,1,1,23,6
13.3,11.7,90,1014.4,12.9,"South","16.7",NA,NA,NA,"Overcast",190,2011-01-02 00:52:00,11,1,2,0,0
13,12,94,1014.4,12.9,"South","16.7",NA,NA,NA,"Overcast",190,2011-01-02 01:12:00,11,1,2,1,0
12.2,11.7,97,1014.3,6.4,"South","18.5",NA,NA,NA,"Overcast",180,2011-01-02 01:52:00,11,1,2,1,0
13.9,12.8,93,1014.3,12.9,"South","14.8",NA,NA,NA,"Overcast",190,2011-01-02 02:52:00,11,1,2,2,0
